Oxyura leucocephala
Cygnus olor
Cygnus columbianus
Cygnus cygnus
Branta bernicla
Branta leucopsis
Branta ruficollis
Branta canadensis
Anser anser
Anser fabalis
Anser brachyrhynchus
Anser serrirostris
Anser albifrons
Anser erythropus
Alopochen aegyptiaca
Tadorna tadorna
Tadorna ferruginea
Aix galericulata
Clangula hyemalis
Polysticta stelleri
Somateria spectabilis
Somateria mollissima
Histrionicus histrionicus
Melanitta fusca
Melanitta stejnegeri
Melanitta nigra
Melanitta americana
Bucephala clangula
Mergellus albellus
Mergus merganser
Mergus serrator
Netta rufina
Aythya ferina
Aythya nyroca
Aythya collaris
Aythya fuligula
Aythya marila
Aythya affinis
Sibirionetta formosa
Spatula querquedula
Spatula clypeata
Spatula discors
Mareca strepera
Mareca penelope
Mareca americana
Anas platyrhynchos
Anas acuta
Anas crecca
Anas carolinensis
Coturnix coturnix
Perdix perdix
Phasianus colchicus
Tetrastes bonasia
Lagopus lagopus
Tetrao urogallus
Lyrurus tetrix
Phoenicopterus roseus
Podilymbus podiceps
Tachybaptus ruficollis
Podiceps grisegena
Podiceps cristatus
Podiceps auritus
Podiceps nigricollis
Columba livia forma urbana
Columba oenas
Columba palumbus
Streptopelia turtur
Streptopelia orientalis
Streptopelia decaocto
Syrrhaptes paradoxus
Caprimulgus europaeus
Tachymarptis melba
Apus pallidus
Apus apus
Cuculus canorus
Tetrax tetrax
Otis tarda
Chlamydotis macqueenii
Rallus aquaticus
Crex crex
Porzana porzana
Zapornia parva
Zapornia pusilla
Gallinula chloropus
Fulica atra
Grus virgo
Grus grus
Burhinus oedicnemus
Haematopus ostralegus
Himantopus himantopus
Recurvirostra avosetta
Pluvialis squatarola
Pluvialis apricaria
Pluvialis fulva
Pluvialis dominica
Charadrius morinellus
Charadrius hiaticula
Charadrius dubius
Charadrius alexandrinus
Charadrius mongolus
Charadrius leschenaultii
Charadrius asiaticus
Vanellus vanellus
Vanellus spinosus
Vanellus gregarius
Vanellus leucurus
Numenius phaeopus
Numenius tenuirostris
Numenius arquata
Limosa lapponica
Limosa limosa
Arenaria interpres
Calidris tenuirostris
Calidris canutus
Calidris pugnax
Calidris falcinellus
Calidris acuminata
Calidris ferruginea
Calidris temminckii
Calidris alba
Calidris alpina
Calidris maritima
Calidris bairdii
Calidris minuta
Calidris minutilla
Calidris fuscicollis
Calidris subruficollis
Calidris melanotos
Calidris pusilla
Limnodromus scolopaceus
Scolopax rusticola
Gallinago media
Gallinago gallinago
Lymnocryptes minimus
Xenus cinereus
Actitis hypoleucos
Actitis macularius
Tringa ochropus
Tringa flavipes
Tringa erythropus
Tringa nebularia
Tringa melanoleuca
Tringa totanus
Tringa glareola
Tringa stagnatilis
Phalaropus lobatus
Phalaropus fulicarius
Glareola pratincola
Glareola nordmanni
Fratercula arctica
Cepphus grylle
Alca torda
Alle alle
Uria lomvia
Uria aalge
Stercorarius longicaudus
Stercorarius parasiticus
Stercorarius pomarinus
Stercorarius skua
Pagophila eburnea
Xema sabini
Rissa tridactyla
Chroicocephalus genei
Chroicocephalus ridibundus
Hydrocoloeus minutus
Rhodostethia rosea
Leucophaeus atricilla
Ichthyaetus audouinii
Ichthyaetus melanocephalus
Ichthyaetus ichthyaetus
Larus canus
Larus delawarensis
Larus fuscus
Larus argentatus
Larus smithsonianus
Larus michahellis
Larus cachinnans
Larus hyperboreus
Larus glaucoides
Larus schistisagus
Larus marinus
Gelochelidon nilotica
Hydroprogne caspia
Thalasseus sandvicensis
Sterna dougallii
Sterna hirundo
Sterna paradisaea
Sternula albifrons
Chlidonias hybrida
Chlidonias niger
Chlidonias leucopterus
Gavia stellata
Gavia arctica
Gavia pacifica
Gavia immer
Gavia adamsii
Oceanites oceanicus
Hydrobates pelagicus
Hydrobates leucorhous
Fulmarus glacialis
Calonectris diomedea
Ardenna grisea
Puffinus puffinus
Puffinus mauretanicus
Ciconia nigra
Ciconia ciconia
Pelecanus onocrotalus
Pelecanus crispus
Botaurus stellaris
Ixobrychus minutus
Nycticorax nycticorax
Ardeola ralloides
Bubulcus ibis
Ardea cinerea
Ardea purpurea
Ardea alba
Egretta garzetta
Platalea leucorodia
Plegadis falcinellus
Morus bassanus
Sula leucogaster
Microcarbo pygmeus
Phalacrocorax aristotelis
Phalacrocorax carbo
Pandion haliaetus
Elanus caeruleus
Pernis apivorus
Gypaetus barbatus
Neophron percnopterus
Circaetus gallicus
Gyps fulvus
Aegypius monachus
Clanga pomarina
Clanga clanga
Aquila nipalensis
Aquila heliaca
Aquila chrysaetos
Aquila fasciata
Hieraaetus pennatus
Circus aeruginosus
Circus cyaneus
Circus macrourus
Circus pygargus
Accipiter brevipes
Accipiter nisus
Accipiter gentilis
Haliaeetus leucoryphus
Haliaeetus albicilla
Milvus milvus
Milvus migrans
Buteo lagopus
Buteo buteo
Buteo rufinus
Tyto alba
Surnia ulula
Glaucidium passerinum
Athene noctua
Aegolius funereus
Otus scops
Asio otus
Asio flammeus
Strix aluco
Strix uralensis
Strix nebulosa
Bubo scandiacus
Bubo bubo
Upupa epops
Jynx torquilla
Picus canus
Picus viridis
Dryocopus martius
Dendrocoptes medius
Dryobates minor
Dendrocopos major
Dendrocopos syriacus
Dendrocopos leucotos
Picoides tridactylus
Merops apiaster
Coracias garrulus
Alcedo atthis
Ceryle rudis
Falco naumanni
Falco tinnunculus
Falco vespertinus
Falco columbarius
Falco subbuteo
Falco eleonorae
Falco cherrug
Falco biarmicus
Falco rusticolus
Falco peregrinus
Vireo olivaceus
Oriolus oriolus
Lanius collurio
Lanius phoenicuroides
Lanius isabellinus
Lanius minor
Lanius borealis
Lanius excubitor
Lanius senator
Pyrrhocorax graculus
Perisoreus infaustus
Garrulus glandarius
Pica pica
Nucifraga caryocatactes
Corvus monedula
Corvus frugilegus
Corvus corax
Corvus corone
Corvus cornix
Periparus ater
Lophophanes cristatus
Poecile palustris
Poecile montanus
Cyanistes caeruleus
Cyanistes cyanus
Parus major
Remiz pendulinus
Lullula arborea
Alauda leucoptera
Alauda arvensis
Galerida cristata
Eremophila alpestris
Calandrella brachydactyla
Melanocorypha bimaculata
Melanocorypha calandra
Melanocorypha yeltoniensis
Alaudala rufescens
Panurus biarmicus
Helopsaltes certhiola
Locustella luscinioides
Locustella fluviatilis
Locustella naevia
Iduna caligata
Iduna pallida
Hippolais polyglotta
Hippolais icterina
Acrocephalus paludicola
Acrocephalus melanopogon
Acrocephalus schoenobaenus
Acrocephalus dumetorum
Acrocephalus palustris
Acrocephalus scirpaceus
Acrocephalus agricola
Acrocephalus arundinaceus
Delichon urbicum
Cecropis daurica
Hirundo rustica
Riparia riparia
Phylloscopus bonelli
Phylloscopus sibilatrix
Phylloscopus inornatus
Phylloscopus humei
Phylloscopus proregulus
Phylloscopus fuscatus
Phylloscopus trochilus
Phylloscopus ibericus
Phylloscopus collybita
Phylloscopus schwarzi
Phylloscopus trochiloides
Phylloscopus borealis
